harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat
NA,0,45,16,Liberal,Agree,Yes,Yes,Working fulltime
NA,0,2,12,Extremely liberal,Strongly agree,NA,NA,Retired
No,0,1,13,Slghtly conservative,NA,Yes,Yes,Working parttime
No,NA,NA,19,Moderate,NA,No,No,Working fulltime
NA,0,0,16,Conservative,Agree,NA,NA,Working parttime
NA,0,7,16,Extremely liberal,Strongly agree,No,Yes,Working parttime
Yes,0,2,17,Moderate,NA,No,No,Working fulltime
NA,0,25,17,Slightly liberal,Agree,No,No,Working fulltime
No,NA,NA,20,Liberal,NA,No,No,Working fulltime
NA,45,0,10,Slghtly conservative,Agree,NA,NA,"Unempl, laid off"
No,NA,NA,13,Moderate,NA,Yes,Yes,Working fulltime
NA,20,0,12,Conservative,Agree,No,No,"Unempl, laid off"
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Moderate,NA,NA,NA,Other
Yes,0,1,13,Slightly liberal,NA,Yes,Yes,School
NA,NA,NA,11,Moderate,Agree,NA,NA,Keeping house
Yes,NA,NA,10,Extrmly conservative,NA,No,Yes,Working fulltime
NA,0,60,12,Slightly liberal,Disagree,No,Yes,Working fulltime
NA,20,0,10,Extrmly conservative,Agree,NA,NA,Temp not working
NA,NA,NA,11,Slghtly conservative,Agree,NA,NA,Other
NA,NA,NA,6,Moderate,Strongly agree,NA,NA,Retired
NA,0,0,10,NA,Agree,NA,NA,Retired
NA,0,44,14,Moderate,Agree,NA,NA,Working fulltime
NA,NA,NA,11,Moderate,Agree,NA,NA,Retired
No,0,1,12,Slghtly conservative,NA,NA,NA,Retired
NA,0,1,18,Slightly liberal,Strongly agree,NA,NA,Working parttime
NA,NA,NA,10,Liberal,Agree,NA,NA,Keeping house
NA,0,15,20,Extremely liberal,Agree,NA,NA,Working parttime
NA,0,10,18,Extremely liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,19,Extremely liberal,NA,No,No,Retired
No,NA,NA,12,NA,NA,No,No,Working fulltime
NA,0,40,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime
Yes,NA,NA,14,Slghtly conservative,NA,Yes,Yes,Working fulltime
NA,0,2,16,Slghtly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,Yes,Working fulltime
NA,0,2,12,Moderate,Agree,NA,NA,Working fulltime
Yes,0,60,16,Moderate,NA,No,Yes,Working fulltime
NA,NA,NA,13,Moderate,Disagree,NA,NA,Working fulltime
No,NA,NA,12,NA,NA,NA,NA,Working fulltime
No,NA,NA,12,Slightly liberal,NA,NA,NA,Retired
NA,0,5,12,Moderate,Strongly agree,No,No,Keeping house
No,NA,NA,20,Extremely liberal,NA,NA,NA,Keeping house
NA,0,5,19,NA,Strongly agree,NA,NA,Retired
No,NA,NA,16,Slightly liberal,NA,Yes,Yes,Working fulltime
No,NA,NA,17,Slightly liberal,NA,No,No,Working fulltime
No,0,15,15,Extremely liberal,NA,No,Yes,Working fulltime
NA,0,1,16,Extremely liberal,Agree,NA,NA,Working fulltime
NA,0,10,16,Moderate,Strongly disagree,No,No,Working fulltime
No,NA,NA,20,Slightly liberal,NA,No,No,Working fulltime
No,NA,NA,16,Slightly liberal,NA,No,No,Working parttime
Yes,NA,NA,16,Moderate,NA,No,No,Working fulltime
No,0,0,12,Moderate,NA,NA,NA,Retired
NA,NA,NA,12,Moderate,Agree,NA,NA,Retired
No,NA,NA,12,Moderate,NA,NA,NA,Retired
Yes,NA,NA,14,Extremely liberal,NA,NA,NA,Working fulltime
NA,NA,NA,8,Moderate,Strongly agree,NA,NA,Retired
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,NA,NA,12,Slightly liberal,Strongly agree,NA,NA,"Unempl, laid off"
NA,0,5,11,Moderate,Agree,NA,NA,Retired
No,NA,NA,16,Conservative,NA,No,No,Working parttime
NA,0,3,16,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
NA,NA,NA,14,Moderate,NA,NA,NA,Working fulltime
No,0,2,14,Moderate,NA,NA,NA,Working fulltime
NA,0,4,20,Moderate,Agree,No,Yes,Working fulltime
Yes,NA,NA,17,Liberal,NA,No,No,Working parttime
No,NA,NA,19,Slightly liberal,NA,No,No,Retired
NA,45,0,19,Extremely liberal,Strongly agree,No,No,Working fulltime
No,NA,NA,13,Moderate,NA,No,No,Retired
No,0,7,12,Moderate,NA,No,No,Retired
NA,0,1,18,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,15,Moderate,NA,No,Yes,Working parttime
No,NA,NA,16,Extrmly conservative,NA,No,No,Working parttime
NA,0,50,12,Moderate,Strongly agree,NA,NA,Working fulltime
NA,0,1,16,Slghtly conservative,Agree,No,No,Retired
No,0,1,15,Moderate,NA,NA,NA,School
NA,0,10,12,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,16,Slghtly conservative,NA,Yes,Yes,Working fulltime
No,0,20,16,Liberal,NA,No,Yes,Working fulltime
NA,0,40,20,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
NA,0,20,16,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,14,Moderate,NA,No,No,Keeping house
NA,30,3,12,Moderate,Agree,NA,NA,Working fulltime
Yes,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,1,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
No,NA,NA,12,Conservative,NA,No,Yes,Retired
NA,0,8,16,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,NA,NA,Retired
NA,0,1,16,Conservative,Agree,NA,NA,Keeping house
Does not apply (i do not have a job/superior/co-worker),NA,NA,14,Extremely liberal,NA,NA,NA,Keeping house
NA,0,1,14,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,"Unempl, laid off"
No,10,0,14,Extrmly conservative,NA,No,No,Working fulltime
NA,0,30,16,Liberal,Strongly agree,No,No,Working fulltime
No,NA,NA,16,Slightly liberal,NA,No,No,Working parttime
No,30,0,14,Moderate,NA,NA,NA,Working fulltime
NA,0,50,12,Slghtly conservative,Agree,No,No,Working fulltime
NA,0,2,16,Liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,18,Liberal,NA,No,No,Working fulltime
NA,0,5,15,Slightly liberal,Agree,No,Yes,Working fulltime
No,NA,NA,12,NA,NA,No,No,Working parttime
NA,0,20,18,Liberal,Strongly agree,NA,NA,Working parttime
Yes,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,1,14,Moderate,Agree,NA,NA,Working parttime
No,NA,NA,16,Moderate,NA,No,No,Working parttime
NA,0,3,16,Moderate,Strongly agree,NA,NA,Keeping house
No,0,40,13,Moderate,NA,Yes,No,Working fulltime
NA,0,0,12,Liberal,Agree,NA,NA,Working fulltime
NA,0,5,15,Extrmly conservative,Strongly agree,Yes,Yes,Working fulltime
NA,0,10,18,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,12,Slightly liberal,NA,NA,NA,Working parttime
NA,NA,NA,NA,Slghtly conservative,NA,NA,NA,Retired
NA,NA,NA,12,Conservative,Disagree,NA,NA,Working fulltime
NA,NA,NA,11,Extrmly conservative,Agree,NA,NA,Keeping house
No,NA,NA,12,Liberal,NA,No,No,Temp not working
No,0,7,13,Moderate,NA,No,Yes,Keeping house
Yes,NA,NA,12,Moderate,NA,No,No,Working fulltime
No,NA,NA,14,Slghtly conservative,NA,NA,NA,Retired
No,0,1,11,Moderate,NA,Yes,Yes,Working parttime
No,NA,NA,14,Slightly liberal,NA,Yes,Yes,Working fulltime
NA,15,0,12,NA,Strongly agree,No,No,Working parttime
No,NA,NA,20,Moderate,NA,No,No,Working fulltime
Yes,0,1,14,Slightly liberal,NA,No,Yes,Temp not working
NA,0,30,14,Moderate,Disagree,NA,NA,Working fulltime
NA,0,20,16,Extremely liberal,Strongly agree,NA,NA,Working parttime
No,NA,NA,18,Moderate,NA,No,No,Keeping house
Yes,NA,NA,14,Slghtly conservative,NA,No,No,Working parttime
NA,0,1,12,Moderate,Agree,NA,NA,Working parttime
Does not apply (i do not have a job/superior/co-worker),NA,NA,16,Conservative,NA,No,No,Retired
NA,0,1,14,Liberal,Agree,NA,NA,Other
Does not apply (i do not have a job/superior/co-worker),NA,NA,17,Extrmly conservative,NA,NA,NA,Retired
NA,0,1,12,Extrmly conservative,Agree,Yes,Yes,Keeping house
Yes,NA,NA,16,Moderate,NA,No,No,Working fulltime
No,0,1,13,Conservative,NA,Yes,Yes,School
No,NA,NA,18,Slightly liberal,NA,No,No,Retired
NA,0,8,12,Extremely liberal,Strongly agree,NA,NA,Working fulltime
NA,0,0,8,Slghtly conservative,Dont know,NA,NA,Keeping house
No,NA,NA,1,Moderate,NA,NA,NA,Keeping house
Yes,NA,NA,14,Moderate,NA,No,Yes,"Unempl, laid off"
NA,0,0,9,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,2,Conservative,NA,NA,NA,Working parttime
NA,0,1,8,Moderate,Agree,NA,NA,Working fulltime
NA,0,4,9,Moderate,Agree,NA,NA,Working fulltime
No,0,25,14,Liberal,NA,No,No,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,13,Conservative,NA,NA,NA,Retired
NA,0,4,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
NA,0,1,15,Moderate,Agree,NA,NA,Working parttime
NA,0,12,16,Moderate,Strongly agree,NA,NA,Working fulltime
NA,0,42,15,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,0,2,12,Moderate,NA,No,Yes,Working fulltime
No,0,5,16,Moderate,NA,No,No,Working fulltime
NA,0,10,16,Slightly liberal,Disagree,No,Yes,Working fulltime
Yes,NA,NA,16,Slightly liberal,NA,No,Yes,Working fulltime
No,0,5,20,Liberal,NA,No,No,Working parttime
NA,0,10,16,Moderate,Strongly agree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,11,Moderate,NA,NA,NA,Keeping house
NA,30,0,14,Moderate,Agree,Yes,Yes,Working parttime
NA,0,4,20,Slghtly conservative,Strongly agree,NA,NA,"Unempl, laid off"
No,0,12,12,NA,NA,No,Yes,Working fulltime
NA,0,2,15,Slghtly conservative,Strongly agree,NA,NA,School
NA,20,0,12,Moderate,Strongly agree,NA,NA,Working parttime
No,NA,NA,16,Moderate,NA,No,No,Keeping house
No,0,2,19,Slghtly conservative,NA,No,Yes,Retired
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Moderate,NA,Yes,No,Retired
NA,0,1,16,Moderate,Agree,Yes,Yes,Working fulltime
NA,0,0,12,Moderate,Agree,NA,NA,Working fulltime
NA,0,8,13,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Liberal,NA,Yes,Yes,Working fulltime
NA,NA,NA,12,NA,Dont know,No,Yes,School
No,NA,NA,6,Extrmly conservative,NA,NA,NA,Working fulltime
No,NA,NA,17,Liberal,NA,Yes,Yes,Working fulltime
No,NA,NA,18,Slghtly conservative,NA,No,No,Working fulltime
No,0,8,14,Extrmly conservative,NA,Yes,Yes,Working parttime
NA,0,5,12,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,17,Slightly liberal,NA,No,No,Working fulltime
NA,0,5,16,Moderate,Agree,No,No,Working fulltime
No,NA,NA,18,Moderate,NA,Yes,Yes,Working fulltime
No,0,5,16,Conservative,NA,NA,NA,Retired
NA,0,2,12,Conservative,Agree,NA,NA,Retired
No,NA,NA,16,Moderate,NA,No,Yes,Retired
NA,0,8,18,Conservative,Agree,No,No,Working fulltime
No,NA,NA,19,Slghtly conservative,NA,No,No,Retired
No,0,2,16,Slghtly conservative,NA,Yes,Yes,Working parttime
NA,0,20,19,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,18,Conservative,NA,NA,NA,Working parttime
No,NA,NA,12,Conservative,NA,No,Yes,Working fulltime
NA,0,1,16,Liberal,Strongly agree,NA,NA,Working fulltime
NA,2,0,12,Slghtly conservative,Dont know,No,No,Working fulltime
No,10,0,12,Slghtly conservative,NA,No,No,Working fulltime
NA,10,0,14,Slightly liberal,Strongly agree,NA,NA,Working fulltime
NA,0,0,7,Liberal,Dont know,NA,NA,Working fulltime
Yes,0,1,12,Conservative,NA,No,No,Working fulltime
NA,0,7,12,Moderate,Agree,NA,NA,Keeping house
NA,0,1,17,Liberal,Strongly agree,NA,NA,"Unempl, laid off"
No,NA,NA,13,Moderate,NA,No,Yes,Keeping house
No,0,10,15,Moderate,NA,No,No,Working fulltime
NA,0,20,12,NA,Disagree,No,Yes,Working fulltime
No,NA,NA,16,Conservative,NA,Yes,Yes,Working fulltime
No,0,8,20,Slghtly conservative,NA,No,No,Working fulltime
No,0,1,14,Liberal,NA,No,No,Working fulltime
Yes,NA,NA,18,Moderate,NA,No,No,Working parttime
NA,0,2,12,Slghtly conservative,Agree,Yes,Yes,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,School
No,0,2,12,Slightly liberal,NA,Yes,No,Temp not working
NA,0,2,16,Moderate,Agree,NA,NA,Working fulltime
NA,0,1,13,Slightly liberal,Strongly agree,NA,NA,Retired
Yes,NA,NA,20,Conservative,NA,No,Yes,Working fulltime
NA,0,90,14,Moderate,Agree,NA,NA,Working fulltime
NA,0,10,20,Extremely liberal,Strongly agree,NA,NA,Temp not working
No,NA,NA,13,Slghtly conservative,NA,Yes,Yes,Working fulltime
No,0,2,12,Moderate,NA,No,Yes,Working fulltime
NA,0,75,13,Liberal,Agree,NA,NA,"Unempl, laid off"
NA,0,5,17,Slghtly conservative,Agree,Yes,Yes,Working parttime
Yes,0,1,16,Moderate,NA,No,Yes,Working parttime
NA,0,1,12,Extremely liberal,Strongly agree,NA,NA,"Unempl, laid off"
NA,0,0,13,NA,Agree,No,No,Retired
No,NA,NA,11,Moderate,NA,No,No,Working fulltime
Does not apply (i do not have a job/superior/co-worker),10,0,18,Extremely liberal,NA,No,No,Retired
No,NA,NA,18,Moderate,NA,No,No,Keeping house
NA,0,5,16,Moderate,Agree,No,Yes,Working parttime
NA,0,1,16,Slightly liberal,Agree,NA,NA,Retired
No,0,25,16,Slghtly conservative,NA,No,Yes,Working fulltime
NA,0,6,13,Moderate,Agree,NA,NA,Retired
No,NA,NA,15,Moderate,NA,Yes,Yes,Working fulltime
NA,40,1,20,Extremely liberal,Strongly agree,NA,NA,Working fulltime
Yes,NA,NA,16,Extrmly conservative,NA,No,No,Working fulltime
Yes,0,10,14,Slightly liberal,NA,NA,NA,Working fulltime
NA,0,8,10,Moderate,Agree,Yes,Yes,Working fulltime
NA,0,2,9,Slightly liberal,Agree,NA,NA,Keeping house
NA,0,1,14,Moderate,Agree,NA,NA,"Unempl, laid off"
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Moderate,NA,NA,NA,Keeping house
NA,0,10,13,Moderate,Agree,NA,NA,Working fulltime
NA,0,0,12,Conservative,Agree,NA,NA,Retired
No,NA,NA,14,Slghtly conservative,NA,No,No,Working fulltime
No,0,3,14,Extremely liberal,NA,No,Yes,Working fulltime
No,NA,NA,14,Extremely liberal,NA,No,No,Working fulltime
NA,0,2,12,Conservative,Agree,NA,NA,Working fulltime
NA,0,10,17,Liberal,Agree,NA,NA,Working fulltime
NA,0,20,19,Liberal,Strongly agree,No,No,Working fulltime
No,0,22,16,Slightly liberal,NA,No,No,Working fulltime
NA,0,20,19,Moderate,Strongly agree,NA,NA,Working fulltime
NA,0,3,11,Moderate,Agree,NA,NA,Retired
No,NA,NA,12,Slghtly conservative,NA,NA,NA,Working fulltime
No,0,0,12,Conservative,NA,No,No,Working parttime
NA,0,1,19,Extremely liberal,Strongly agree,NA,NA,"Unempl, laid off"
No,NA,NA,16,Slightly liberal,NA,No,Yes,Keeping house
NA,0,20,16,Liberal,Strongly agree,NA,NA,Working fulltime
No,0,3,17,Moderate,NA,No,Yes,Working fulltime
NA,0,3,13,Moderate,Agree,NA,NA,Keeping house
No,NA,NA,9,Moderate,NA,No,No,Keeping house
No,0,1,13,Moderate,NA,NA,NA,Keeping house
NA,0,0,13,Extrmly conservative,Disagree,NA,NA,Working fulltime
NA,0,50,14,Moderate,Agree,NA,NA,Working fulltime
NA,0,10,19,Moderate,Strongly agree,NA,NA,Working fulltime
NA,20,0,12,Moderate,Agree,Yes,No,Keeping house
No,0,2,10,Liberal,NA,NA,NA,Working fulltime
NA,0,3,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime
NA,15,0,13,Moderate,Agree,No,Yes,"Unempl, laid off"
No,0,50,20,Liberal,NA,No,No,Working fulltime
No,0,3,16,Moderate,NA,No,No,Retired
No,NA,NA,12,Slightly liberal,NA,No,No,Working fulltime
NA,0,5,16,Moderate,Agree,No,No,Working fulltime
No,NA,NA,16,Liberal,NA,NA,NA,Retired
No,0,12,15,Slightly liberal,NA,No,No,Working fulltime
NA,0,15,12,Moderate,Disagree,NA,NA,Working fulltime
No,0,2,12,Slightly liberal,NA,No,No,Working fulltime
NA,0,0,12,Moderate,Agree,NA,NA,Working parttime
NA,0,2,16,Liberal,Agree,NA,NA,Retired
Yes,NA,NA,8,Extremely liberal,NA,Yes,No,Keeping house
No,0,12,18,Conservative,NA,No,No,Temp not working
NA,0,15,14,Moderate,Agree,NA,NA,Retired
NA,0,0,14,Extrmly conservative,Strongly agree,NA,NA,Retired
Yes,NA,NA,12,Slghtly conservative,NA,No,No,Keeping house
NA,0,0,12,Moderate,Agree,NA,NA,Retired
No,NA,NA,12,Slghtly conservative,NA,No,Yes,Working fulltime
NA,0,0,12,Moderate,Agree,NA,NA,Working parttime
NA,0,15,16,Slightly liberal,Disagree,NA,NA,Working fulltime
NA,0,15,16,Slghtly conservative,Disagree,NA,NA,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,No,No,Retired
NA,0,10,16,Slghtly conservative,Agree,NA,NA,Working fulltime
No,0,3,15,Slghtly conservative,NA,Yes,Yes,Working fulltime
NA,0,1,13,NA,Disagree,NA,NA,Working fulltime
No,NA,NA,9,Moderate,NA,NA,NA,Working fulltime
NA,0,8,16,Slghtly conservative,Agree,No,Yes,Working fulltime
No,NA,NA,17,Conservative,NA,No,No,Working fulltime
NA,5,0,18,Moderate,Disagree,No,No,Working fulltime
NA,0,1,16,Conservative,Agree,NA,NA,Retired
No,10,0,14,Moderate,NA,Yes,Yes,School
No,NA,NA,18,Moderate,NA,No,No,Working fulltime
NA,30,0,12,Slightly liberal,Agree,No,No,Working parttime
No,NA,NA,18,Conservative,NA,No,No,Working fulltime
Yes,0,3,16,Slightly liberal,NA,NA,NA,Working parttime
Yes,NA,NA,16,Slghtly conservative,NA,NA,NA,Working fulltime
NA,0,2,19,Moderate,Agree,No,No,Working fulltime
No,0,2,20,Liberal,NA,Yes,Yes,Working fulltime
NA,0,40,15,Moderate,Agree,NA,NA,Working fulltime
NA,0,3,12,Moderate,Disagree,NA,NA,Working fulltime
NA,59,0,12,Moderate,Disagree,NA,NA,Working fulltime
No,NA,NA,14,Slightly liberal,NA,No,Yes,Working parttime
NA,1,0,18,Liberal,Strongly agree,NA,NA,Keeping house
NA,0,12,12,Moderate,Agree,No,No,Working fulltime
NA,0,10,12,Extrmly conservative,Disagree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,13,Liberal,NA,No,No,Keeping house
No,NA,NA,19,Moderate,NA,No,Yes,Working fulltime
No,NA,NA,16,Slghtly conservative,NA,No,No,Working parttime
No,0,12,16,Moderate,NA,No,No,Working fulltime
No,NA,NA,14,Moderate,NA,No,Yes,Working fulltime
NA,0,25,13,Slghtly conservative,Agree,NA,NA,Working fulltime
Yes,NA,NA,16,Moderate,NA,No,No,Working fulltime
Yes,0,24,12,Moderate,NA,No,No,Working fulltime
NA,30,0,16,NA,Strongly agree,NA,NA,Retired
No,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,32,18,Moderate,Strongly agree,NA,NA,Working fulltime
No,0,10,12,Conservative,NA,No,No,Working fulltime
NA,NA,NA,9,Slightly liberal,Agree,NA,NA,Other
NA,0,2,15,Liberal,Strongly agree,No,No,"Unempl, laid off"
NA,0,5,13,Conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,13,Slghtly conservative,NA,Yes,No,Working fulltime
No,NA,NA,20,Moderate,NA,No,No,Working fulltime
No,0,1,18,Conservative,NA,No,No,Keeping house
No,NA,NA,12,NA,NA,NA,NA,Working parttime
NA,NA,NA,18,Liberal,Agree,NA,NA,Retired
No,NA,NA,14,NA,NA,NA,NA,Keeping house
NA,0,10,16,Moderate,Strongly agree,Yes,Yes,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
NA,0,21,16,Moderate,Strongly disagree,NA,NA,Keeping house
Yes,NA,NA,13,Moderate,NA,No,No,Working fulltime
NA,0,6,18,Liberal,Strongly agree,NA,NA,Working fulltime
No,0,3,20,Moderate,NA,NA,NA,Retired
NA,0,10,16,Moderate,Strongly agree,No,Yes,Retired
NA,0,6,12,Slightly liberal,Strongly agree,NA,NA,Retired
No,NA,NA,13,Slightly liberal,NA,No,Yes,Working fulltime
NA,0,30,18,Slghtly conservative,Agree,Yes,Yes,Working fulltime
NA,0,10,16,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,NA,NA,Working parttime
No,0,20,16,Liberal,NA,NA,NA,Working fulltime
No,NA,NA,16,Extremely liberal,NA,No,No,Retired
NA,0,8,18,Slightly liberal,Strongly agree,No,Yes,Working fulltime
Yes,NA,NA,16,Liberal,NA,NA,NA,Retired
No,NA,NA,12,Moderate,NA,No,No,Working parttime
No,NA,NA,20,Liberal,NA,No,No,Working fulltime
No,0,10,14,Extremely liberal,NA,No,No,Working fulltime
No,NA,NA,16,Liberal,NA,No,No,School
NA,30,0,18,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Slightly liberal,NA,Yes,Yes,School
NA,0,10,18,Liberal,Strongly agree,NA,NA,Working fulltime
NA,0,30,16,Liberal,Disagree,No,No,Working fulltime
NA,0,22,16,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,11,Liberal,NA,NA,NA,Working fulltime
NA,0,3,13,Conservative,Agree,Yes,Yes,Temp not working
No,NA,NA,14,Slghtly conservative,NA,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
NA,0,12,16,Slghtly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,12,Slightly liberal,NA,No,No,Retired
NA,0,7,12,Moderate,Agree,No,No,Keeping house
No,0,7,20,Extremely liberal,NA,NA,NA,Working fulltime
NA,0,30,16,Slightly liberal,Agree,NA,NA,Working fulltime
NA,0,2,18,Slightly liberal,Agree,NA,NA,Working fulltime
No,30,2,19,NA,NA,No,No,Retired
Yes,NA,NA,20,Conservative,NA,NA,NA,Working fulltime
No,0,40,15,Moderate,NA,Yes,Yes,Working fulltime
NA,0,30,18,Conservative,Disagree,NA,NA,Working fulltime
NA,NA,NA,12,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,12,Conservative,NA,NA,NA,Working fulltime
NA,0,15,13,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,10,Conservative,NA,NA,NA,Other
NA,0,0,12,Slightly liberal,Disagree,NA,NA,Working fulltime
NA,NA,NA,14,Moderate,Agree,NA,NA,Retired
No,0,7,13,Moderate,NA,Yes,Yes,Working parttime
NA,NA,NA,10,Liberal,Strongly agree,NA,NA,Working fulltime
NA,30,12,12,Moderate,Strongly agree,NA,NA,Working parttime
No,NA,NA,20,Liberal,NA,No,No,Working fulltime
NA,0,5,18,Slightly liberal,Agree,No,No,Retired
No,NA,NA,16,Moderate,NA,NA,NA,Retired
NA,0,10,18,Liberal,Strongly agree,NA,NA,Working fulltime
NA,0,20,18,Slightly liberal,Strongly agree,NA,NA,Working fulltime
NA,0,2,10,Liberal,Strongly agree,No,Yes,Working parttime
NA,NA,NA,10,Slghtly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,11,Liberal,NA,Yes,No,Working fulltime
NA,0,50,12,Conservative,Agree,Yes,Yes,Working parttime
No,NA,NA,11,Moderate,NA,Yes,Yes,"Unempl, laid off"
No,NA,NA,6,Liberal,NA,No,No,Working fulltime
No,NA,NA,13,Conservative,NA,No,Yes,Working fulltime
